cutii_sheet_row,cutii_name,qty_per_year,status,confirmed_excel_row,top1_excel_row,top1_score,top1_score_name,top1_score_pdf,top1_name,top1_pdf,top2_excel_row,top2_score,top2_score_name,top2_score_pdf,top2_name,top2_pdf,top3_excel_row,top3_score,top3_score_name,top3_score_pdf,top3_name,top3_pdf
11,Giatron 30 mg/2 ml N 1 (Camboja),6000,no_match,,444,48.275862068965516,48.275862068965516,48.275862068965516,Ketorolac-BP sol. inj. 30 mg_ml 1 ml N5x2 (SPM-454-01) 13.09.24 Red.1,Ketorolac-BP sol. inj. 30 mg_ml 1 ml N5x2 (SPM-454-01) 13.09.24 Red.1.pdf,61,42.42424242424242,42.42424242424242,42.42424242424242,Amiodaron-BP sol. inj. 150 mg-3 ml N5x2 (SPM-017-01) 11.12.24 Red.4,Amiodaron-BP sol. inj. 150 mg-3 ml N5x2 (SPM-017-01) 11.12.24 Red.4.pdf,46,41.666666666666664,41.666666666666664,41.666666666666664,Alergostop sol. inj. 20 mg_ml 1 ml N5x2 (BUM-011-01) 08.11.21 Red.3,Alergostop sol. inj. 20 mg_ml 1 ml N5x2 (BUM-011-01) 08.11.21 Red.3 .pdf
13,Dipovix 2 mg+5mg 1 ml N 1,46850,no_match,,243,41.37931034482759,41.37931034482759,41.37931034482759,Clemastin-BP sol. inj. 1 mg-ml 2 ml N5x2 (ВУМ-037-01) 10.08.22 - Red.4,Clemastin-BP sol. inj. 1 mg-ml 2 ml N5x2 (ВУМ-037-01) 10.08.22 - Red.4.pdf,310,41.37931034482759,41.37931034482759,41.37931034482759,Drotaverin-BP sol. inj. 20 mg-ml 2 ml N N5x10 (SPM-164-02) 29.10.25 Red. 3,Drotaverin-BP sol. inj. 20 mg-ml 2 ml N N5x10 (SPM-164-02) 29.10.25 Red. 3.pdf,311,41.37931034482759,41.37931034482759,41.37931034482759,Drotaverin-BP sol. inj. 20 mg-ml 2 ml N N5x2 (SPM-164-01) 29.10.25 Red. 4,Drotaverin-BP sol. inj. 20 mg-ml 2 ml N N5x2 (SPM-164-01) 29.10.25 Red. 4.pdf
14,Kortipan susp.inj. 2 mg+5 mg/ml 1 ml N 1 (TJ),61450,no_match,,549,47.45762711864407,47.45762711864407,47.45762711864407,Metilprednisolon-BP susp. inj. 40 mg-ml 1 ml N5 MD-RU (ВУМ-087-01) 28.09.18,Metilprednisolon-BP susp. inj. 40 mg-ml 1 ml N5 MD-RU (ВУМ-087-01) 28.09.18.pdf,259,44.067796610169495,44.067796610169495,44.067796610169495,Clorură de Sodiu-BP sol. inj. 9 mg-ml 2 ml N5x2 (ВУМ-184-02) 12.09.23 Red.3,Clorură de Sodiu-BP sol. inj. 9 mg-ml 2 ml N5x2 (ВУМ-184-02) 12.09.23 Red.3.pdf,690,43.80952380952381,43.80952380952381,43.80952380952381,Ranitidin-BP sol. inj. 20 mg-ml 2 ml N10 (ВУМ-175-03) 15.12.18,Ranitidin-BP sol. inj. 20 mg-ml 2 ml N10 (ВУМ-175-03) 15.12.18.pdf
15,Kortipan susp.inj. 2 mg+5 mg/ml 1 ml N 1 (UZB),45450,no_match,,549,47.05882352941177,47.05882352941177,47.05882352941177,Metilprednisolon-BP susp. inj. 40 mg-ml 1 ml N5 MD-RU (ВУМ-087-01) 28.09.18,Metilprednisolon-BP susp. inj. 40 mg-ml 1 ml N5 MD-RU (ВУМ-087-01) 28.09.18.pdf,259,43.69747899159664,43.69747899159664,43.69747899159664,Clorură de Sodiu-BP sol. inj. 9 mg-ml 2 ml N5x2 (ВУМ-184-02) 12.09.23 Red.3,Clorură de Sodiu-BP sol. inj. 9 mg-ml 2 ml N5x2 (ВУМ-184-02) 12.09.23 Red.3.pdf,690,43.39622641509434,43.39622641509434,43.39622641509434,Ranitidin-BP sol. inj. 20 mg-ml 2 ml N10 (ВУМ-175-03) 15.12.18,Ranitidin-BP sol. inj. 20 mg-ml 2 ml N10 (ВУМ-175-03) 15.12.18.pdf
16,Vegaspan 2mg+5mg/ml 1 ml N 1 (export),22000,no_match,,743,45.16129032258065,45.16129032258065,45.16129032258065,SleepOn comp. 300mg+3mg N15x2 (SPM-391-02) 15.12.25 Red. 2,SleepOn comp. 300mg+3mg N15x2 (SPM-391-02) 15.12.25 Red. 2.pdf,744,44.44444444444444,44.44444444444444,44.44444444444444,SleepOn comp. 300mg+3mg N30 (SPM-391-01) 18.02.26 Red.1,SleepOn comp. 300mg+3mg N30 (SPM-391-01) 18.02.26 Red.1.pdf,840,42.20183486238532,42.20183486238532,42.20183486238532,Vitamina C sol. inj. 200 mg-ml 5 ml N5 (fiole) (SPM-366-03) 18.08.25 Red.1,Vitamina C sol. inj. 200 mg-ml 5 ml N5 (fiole) (SPM-366-03) 18.08.25 Red.1.pdf
17,"Betametazon-BP sol.inj 2,63 mg+6,43 mg 1 ml N 5",13200,ambiguous,,287,59.50413223140496,59.50413223140496,59.50413223140496,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x2 (SPM-046-01-373) 26.11.25 Red.6,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x2 (SPM-046-01-373) 26.11.25 Red.6.pdf,288,59.50413223140496,59.50413223140496,59.50413223140496,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x5 (SPM-046-03-373) 26.11.25 Red.4,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x5 (SPM-046-03-373) 26.11.25 Red.4.pdf,145,57.142857142857146,57.142857142857146,57.142857142857146,Betametason-BP susp. inj. 1 ml N5 (SPM-025-01-373) 20.10.25 Red.3,Betametason-BP susp. inj. 1 ml N5 (SPM-025-01-373) 20.10.25 Red.3.pdf
19,"Cianocobalamin-BP sol.inj 0,5 mg/ml 1 ml N10",121900,ambiguous,,225,62.903225806451616,62.903225806451616,62.903225806451616,Cianocobolamin-BP sol. inj. 0.5 mg-ml 1 ml N5x2 (SPM-226-01-373) 20.10.25 Red. 4,Cianocobolamin-BP sol. inj. 0.5 mg-ml 1 ml N5x2 (SPM-226-01-373) 20.10.25 Red. 4.pdf,78,58.4070796460177,58.4070796460177,58.4070796460177,Analgin-BP sol. inj. 500 mg-ml 2 ml N5x10 (ВУМ-179-02) 12.04.23 Red.2,Analgin-BP sol. inj. 500 mg-ml 2 ml N5x10 (ВУМ-179-02) 12.04.23 Red.2.pdf,229,58.4070796460177,58.4070796460177,58.4070796460177,Citicolin-BP sol. inj. 125 mg-ml 4 ml N5 (ВУМ-175-01) 15.11.22 Red. 2,Citicolin-BP sol. inj. 125 mg-ml 4 ml N5 (ВУМ-175-01) 15.11.22 Red. 2.pdf
20,Dexametazon-BP sol.inj 4 mg/ml 1 ml N10,64600,ambiguous,,287,70.0,70.0,70.0,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x2 (SPM-046-01-373) 26.11.25 Red.6,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x2 (SPM-046-01-373) 26.11.25 Red.6.pdf,288,70.0,70.0,70.0,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x5 (SPM-046-03-373) 26.11.25 Red.4,Dexametazon-BP sol. inj. 4 mg-ml 1 ml N5x5 (SPM-046-03-373) 26.11.25 Red.4.pdf,290,65.51724137931035,65.51724137931035,65.51724137931035,Dexametazon-BP sol. inj. 4 mg-ml 2 ml N5x2 (SPM-046-02-373) 26.11.25 Red.6,Dexametazon-BP sol. inj. 4 mg-ml 2 ml N5x2 (SPM-046-02-373) 26.11.25 Red.6.pdf
23,Ipidacrina-BP sol. inj. 15 mg/ml 1 ml N10,7100,ambiguous,,430,69.0909090909091,69.0909090909091,69.0909090909091,Ipidacrină-BP sol. inj. 5 mg-ml 1 ml N5x2 (ВУМ-325-01) 24.02.23 Red.1,Ipidacrină-BP sol. inj. 5 mg-ml 1 ml N5x2 (ВУМ-325-01) 24.02.23 Red.1.pdf,428,68.46846846846847,68.46846846846847,68.46846846846847,Ipidacrină-BP sol. inj. 15 mg-ml 1 ml N5x2 (ВУМ-325-02) 24.02.23 Red.1,Ipidacrină-BP sol. inj. 15 mg-ml 1 ml N5x2 (ВУМ-325-02) 24.02.23 Red.1.pdf,323,61.016949152542374,61.016949152542374,61.016949152542374,"Enalaprilat-BP sol. inj. 1, 25 mg-ml 1 ml N10 (ВУМ-180-01) 18.08.23 Red.2","Enalaprilat-BP sol. inj. 1, 25 mg-ml 1 ml N10 (ВУМ-180-01) 18.08.23 Red.2.pdf"
24,Ipidacrina-BP sol. inj. 5 mg/ml 1 ml N10,5850,ambiguous,,430,67.88990825688074,67.88990825688074,67.88990825688074,Ipidacrină-BP sol. inj. 5 mg-ml 1 ml N5x2 (ВУМ-325-01) 24.02.23 Red.1,Ipidacrină-BP sol. inj. 5 mg-ml 1 ml N5x2 (ВУМ-325-01) 24.02.23 Red.1.pdf,428,67.27272727272728,67.27272727272728,67.27272727272728,Ipidacrină-BP sol. inj. 15 mg-ml 1 ml N5x2 (ВУМ-325-02) 24.02.23 Red.1,Ipidacrină-BP sol. inj. 15 mg-ml 1 ml N5x2 (ВУМ-325-02) 24.02.23 Red.1.pdf,166,62.06896551724138,62.06896551724138,62.06896551724138,Bupivacain-BP sol. inj. 5 mg_ml 20 ml N10 (SPM-029-07-373) 15.04.25 Red.1,Bupivacain-BP sol. inj. 5 mg_ml 20 ml N10 (SPM-029-07-373) 15.04.25 Red.1.pdf
